 SOV_Nikolai_voznesensky:0 "Nikolai Voznesensky"
 SOV_Semyon_timoshenko_desc:0 ""
 SOV_Kliment_voroshilov_military:0 "Kliment Voroshilov Military"
 SOV_Kliment_voroshilov_military_desc:0 ""
 SOV_Alexander_yegorov:0 "Alexander Yegorov"
 SOV_Alexander_yegorov_desc:0 ""
 SOV_Vasily_blyukher:0 "Vasily Blucher"
 SOV_Vasily_blyukher_desc:0 ""
 SOV_Supreme_military_council:0 "Supreme Military Council"
 SOV_Supreme_military_council_desc:0 ""
 SOV_Pyotr_smirnov:0 "Pyotr Smirnov"
 SOV_Pyotr_smirnov_desc:0 ""
 SOV_Mikhail_frinovsky:0 "Mikhail Frinovsky"
 SOV_Mikhail_frinovsky_desc:0 ""
 SOV_Nikolay_kuznetsov:0 "Nikolay Kuznetsov"
 SOV_Nikolay_kuznetsov_desc:0 ""
 SOV_Ivan_yumashev:0 "Ivan Yumashev"
 SOV_Ivan_yumashev_desc:0 ""
 SOV_Submarine_council:0 "Submarine Council"
 SOV_Submarine_council_desc:0 ""
 SOV_Carrier_council:0 "Carrier Council"
 SOV_Carrier_council_desc:0 ""
 SOV_Battleship_council:0 "Battleship Council"
 SOV_Battleship_council_desc:0 ""
 SOV_Naval_invasion_council:0 "Naval Invasion Council"
 SOV_Naval_invasion_council_desc:0 ""
 SOV_Alexander_novikov:0 "Alexander Novikov"
 SOV_Alexander_novikov_desc:0 ""
 SOV_Konstantin_vershinin:0 "Konstantin Vershinin"
 SOV_Konstantin_vershinin_desc:0 ""
 SOV_Yakov_smushkevich:0 "Yakov Smushkevich"
 SOV_Yakov_smushkevich_desc:0 ""
 SOV_Pavel_rychagov:0 "Pavel Rychagov"
 SOV_Pavel_rychagov_desc:0 ""
 SOV_Bombardment_council:0 "Bombardment Council"
 SOV_Bombardment_council_desc:0 ""
 SOV_Fighter_council:0 "Fighter Council"
 SOV_Fighter_council_desc:0 ""
 SOV_Pilot_training_council:0 "Pilot Training Council"
 SOV_Pilot_training_council_desc:0 ""
 SOV_Alexander_rodzyanko:0 "Alexander Rodzyanko"
 SOV_Alexander_rodzyanko_desc:0 ""
 SOV_Pavel_bermondt_avalov:0 "Pavel Bermondt Avalov"
 SOV_Pavel_bermondt_avalov_desc:0 ""
 SOV_Pyotr_Nikolayevich_Krasnov:0 "Pyotr Nikolayevich Krasnov"
 SOV_Pyotr_Nikolayevich_Krasnov_desc:0 ""
 SOV_Andrei_shkuro:0 "Andrei Shkuro"
 SOV_Andrei_shkuro_desc:0 ""
 SOV_Ivan_konev:0 "Ivan Konev"
 SOV_Ivan_konev_desc:0 ""
 SOV_Aleksandr_vasilevsky:0 "Aleksandr Vasilevsky"
 SOV_Aleksandr_vasilevsky_desc:0 ""
 SOV_Konstantin_rokossovsky:0 "Konstantin Rokossovsky"
 SOV_Konstantin_rokossovsky_desc:0 ""
 SOV_Pavel_zhigarev:0 "Pavel Zhigarev"
 SOV_Pavel_zhigarev_desc:0 ""
 SOV_Sergei_khudyakov:0 "Sergei Khudyakov"
 SOV_Sergei_khudyakov_desc:0 ""
 SOV_Stepan_krasovsky:0 "Stepan Krasovsky"
 SOV_Stepan_krasovsky_desc:0 ""
 SOV_Vladimir_kasatonov:0 "Vladimir Kasatonov"
 SOV_Vladimir_kasatonov_desc:0 ""
 SOV_Gordey_levchenko:0 "Gordey Levchenko"
 SOV_Gordey_levchenko_desc:0 ""
 SOV_Arseniy_golovko:0 "Arseniy Golovko"
 SOV_Arseniy_golovko_desc:0 ""
 SOV_Army_infantry_warfare_council:0 "Army Infantry Warfare Council"
 SOV_Army_infantry_warfare_council_desc:0 ""
 SOV_Army_armor_warfare_council:0 "Army Armor Warfare Council"
 SOV_Army_armor_warfare_council_desc:0 ""
 SOV_Army_drill_council:0 "Army Drill Council"
 SOV_Army_drill_council_desc:0 ""
 SOV_Logistic_council:0 "Logistic Council"
 SOV_Logistic_council_desc:0 ""
 SOV_Organization_council:0 "Organization Council"
 SOV_Organization_council_desc:0 ""
 SOV_Mikhail_tukhachevsky:0 "Mikhail Tukhachevsky"
 SOV_Mikhail_tukhachevsky_desc:0 ""
 SOV_Boris_shaposhnikov:0 "Boris Shaposhnikov"
 SOV_Boris_shaposhnikov_desc:0 ""
 SOV_Georgy_zhukov:0 "Georgy Zhukov"
 SOV_Georgy_zhukov_desc:0 ""
 SOV_Yevgeny_miller:0 "Yevgeny Miller"
 SOV_Yevgeny_miller_desc:0 ""
 SOV_Viktorin_molchanov:0 "Viktorin Molchanov"
 SOV_Viktorin_molchanov_desc:0 ""
 SOV_Sergey_gorshkov:0 "Sergey Gorshkov"
 SOV_Sergey_gorshkov_desc:0 ""
 SOV_Vladimir_tributs:0 "Vladimir Tributs"
 SOV_Vladimir_tributs_desc:0 ""
 SOV_Sergei_rudenko:0 "Sergei Rudenko"
 SOV_Sergei_rudenko_desc:0 ""
 SOV_Alexander_golovanov:0 "Alexander Golovanov"
 SOV_Alexander_golovanov_desc:0 ""
 SOV_Igor_kurchatov:0 "Igor Kurchatov"
 SOV_Igor_kurchatov_desc:0 ""
 SOV_Sergei_korolev:0 "Sergei Korolev"
 SOV_Sergei_korolev_desc:0 ""
 SOV_All_warfare_theorist_council:0 "All Warfare Theorist Council"
 SOV_All_warfare_theorist_council_desc:0 ""
 SOV_Ivan_kononov:0 "Ivan Kononov"
 SOV_Ivan_kononov_desc:0 ""
 SOV_Nikolai_vatutin:0 "Nikolai Vatutin"
 SOV_Nikolai_vatutin_desc:0 ""
 SOV_Semyon_budyonny:0 "Semyon Budyonny"
 SOV_Semyon_budyonny_desc:0 ""
 SOV_Ivan_chernyakhovsky:0 "Ivan Chernyakhovsky"
 SOV_Ivan_chernyakhovsky_desc:0 ""
 SOV_Issa_pliyev:0 "Issa Pliyev"
 SOV_Issa_pliyev_desc:0 ""
 SOV_Leonid_govorov:0 "Leonid Govorov"
 SOV_Leonid_govorov_desc:0 ""
 SOV_Grigory_kulik:0 "Grigory Kulik"
 SOV_Grigory_kulik_desc:0 ""
 SOV_Kirill_meretskov:0 "Kirill Meretskov"
 SOV_Kirill_meretskov_desc:0 ""
 SOV_Filipp_golikov:0 "Filipp Golikov"
 SOV_Filipp_golikov_desc:0 ""
 SOV_Andrey_yeryomenko:0 "Andrey Yeryomenko"
 SOV_Andrey_yeryomenko_desc:0 ""
 SOV_Georgiy_zakharov:0 "Georgiy Zakharov"
 SOV_Georgiy_zakharov_desc:0 ""
 SOV_Yakov_cherevichenko:0 "Yakov Cherevichenko"
 SOV_Yakov_cherevichenko_desc:0 ""
 SOV_Max_reyter:0 "Max Reyter"
 SOV_Max_reyter_desc:0 ""
 SOV_Nikandr_chibisov:0 "Nikandr Chibisov"
 SOV_Nikandr_chibisov_desc:0 ""
 SOV_Vasily_kuznetsov:0 "Vasily Kuznetsov"
 SOV_Vasily_kuznetsov_desc:0 ""
 SOV_Ivan_fedyuninsky:0 "Ivan Fedyuninsky"
 SOV_Ivan_fedyuninsky_desc:0 ""
 SOV_Maksim_purkayev:0 "Maksim Purkayev"
 SOV_Maksim_purkayev_desc:0 ""
 SOV_Kuzma_galitsky:0 "Kuzma Galitsky"
 SOV_Kuzma_galitsky_desc:0 ""
 SOV_Markian_popov:0 "Markian Popov"
 SOV_Markian_popov_desc:0 ""
 SOV_Nikolai_berzarin:0 "Nikolai Berzarin"
 SOV_Nikolai_berzarin_desc:0 ""
 SOV_Alexander_gorbatov:0 "Alexander Gorbatov"
 SOV_Alexander_gorbatov_desc:0 ""
 SOV_Kirill_moskalenko:0 "Kirill Moskalenko"
 SOV_Kirill_moskalenko_desc:0 ""
 SOV_Dmitry_lelyushenko:0 "Dmitry Lelyushenko"
 SOV_Dmitry_lelyushenko_desc:0 ""
 SOV_Andrei_grechko:0 "Andrei Grechko"
 SOV_Andrei_grechko_desc:0 ""
 SOV_Rodion_malinovsky:0 "Rodion Malinovsky"
 SOV_Rodion_malinovsky_desc:0 ""
 SOV_Vasily_chuikov:0 "Vasily Chuikov"
 SOV_Vasily_chuikov_desc:0 ""
 SOV_Filipp_oktyabrskiy:0 "Filipp Oktyabrskiy"
 SOV_Filipp_oktyabrskiy_desc:0 ""
 SOV_Popov_pyotr_kharitonovich:0 "Popov Pyotr Kharitonovich"
 SOV_Popov_pyotr_kharitonovich_desc:0 ""
 SOV_Tolstov_vladimir_sergeevich:0 "Tolstov Vladimir Sergeevich"
 SOV_Tolstov_vladimir_sergeevich_desc:0 ""
 SOV_Pisarev_pyotr_konstantinovich:0 "Pisarev Pyotr Konstantinovich"
 SOV_Pisarev_pyotr_konstantinovich_desc:0 ""
 SOV_Abram_dragomirov:0 "Abram Dragomirov"
 SOV_Abram_dragomirov_desc:0 ""
 SOV_Mikhail_diterikhs:0 "Mikhail Diterikhs"
 SOV_Mikhail_diterikhs_desc:0 ""
 SOV_Alexander_golubintzev:0 "Alexander Golubintzev"
 SOV_Alexander_golubintzev_desc:0 ""
 SOV_Grigory_mikhaylovich_semyonov:0 "Grigory Mikhaylovich Semyonov"
 SOV_Grigory_mikhaylovich_semyonov_desc:0 ""
 SOV_Mikhail_skorodumov:0 "Mikhail Skorodumov"
 SOV_Mikhail_skorodumov_desc:0 ""
 SOV_Konstantin_petrovich_nechaev:0 "Konstantin Petrovich Nechaev"
 SOV_Konstantin_petrovich_nechaev_desc:0 ""
 SOV_Mikhail_pleshkov:0 "Mikhail Pleshkov"
 SOV_Mikhail_pleshkov_desc:0 ""
 SOV_Anton_turkul:0 "Anton Turkul"
 SOV_Anton_turkul_desc:0 ""
 SOV_Isaac_bykadorov:0 "Isaac Bykadorov"
 SOV_Isaac_bykadorov_desc:0 ""
 SOV_Vyacheslav_naumenko:0 "Vyacheslav Naumenko"
 SOV_Vyacheslav_naumenko_desc:0 ""
 SOV_Fedor_abramov:0 "Fedor Abramov"
 SOV_Fedor_abramov_desc:0 ""
 SOV_Bronislaw_kaminski:0 "Bronislaw Kaminski"
 SOV_Bronislaw_kaminski_desc:0 ""
 SOV_Vladimir_marushevsky:0 "Vladimir Marushevsky"
 SOV_Vladimir_marushevsky_desc:0 ""
 SOV_Vladimir_kharzhevsky:0 "Vladimir Kharzhevsky"
 SOV_Vladimir_kharzhevsky_desc:0 ""
 SOV_Pavel_shatilov:0 "Pavel Shatilov"
 SOV_Pavel_shatilov_desc:0 ""
 SOV_Pyotr_vladimirovich_glazenap:0 "Pyotr Vladimirovich Glazenap"
 SOV_Pyotr_vladimirovich_glazenap_desc:0 ""
 SOV_Alexander_lukomsky:0 "Alexander Lukomsky"
 SOV_Alexander_lukomsky_desc:0 ""
 SOV_Military_council_ukraine:0 "Military Council Ukraine"
 SOV_Military_council_ukraine_desc:0 ""
 SOV_Military_council_belarus:0 "Military Council Belarus"
 SOV_Military_council_belarus_desc:0 ""
 SOV_Military_council_urals:0 "Military Council Urals"
 SOV_Military_council_urals_desc:0 ""
 SOV_Military_council_siberia:0 "Military Council Siberia"
 SOV_Military_council_siberia_desc:0 ""
 SOV_Military_council_artic:0 "Military Council Artic"
 SOV_Military_council_artic_desc:0 ""
 SOV_Military_council_steppe_kuban:0 "Military Council Steppe Kuban"
 SOV_Military_council_steppe_kuban_desc:0 ""
 SOV_Military_council_leningrad:0 "Military Council Leningrad"
 SOV_Military_council_leningrad_desc:0 ""
 SOV_Military_council_western_siberia:0 "Military Council Western Siberia"
 SOV_Military_council_western_siberia_desc:0 ""
